dataset,dataset_type,default,old,default_post,old_post
drjohnson,exposure,4.520146393332658,3.4160006806741583,,
drjohnson,edge,5.667872359794581,4.37885052107784,,
drjohnson,both,5.686120952071176,,,
drjohnson,,4.180163955302916,3.1677897162337407,,
playroom,exposure,3.711174195870036,2.6820364213903303,,
playroom,edge,4.603946514826129,2.996030512550277,,
playroom,both,4.73063426373436,3.1602302507357565,,
playroom,,3.5428166284591907,2.492330021103726,,
train,exposure,5.9847545425539135,5.404245767119535,,
train,edge,6.504921611887431,6.009214319527243,,
train,both,6.314077374007898,5.719352084375123,,
train,,5.757236594958415,5.2691755624155645,,
images_dark,exposure,3.7352779184125904,4.169176216556904,,
images_dark,edge,2.849247979256692,2.694032859216382,,
images_dark,both,4.306136383646559,4.336295356401635,,
images_dark,,,,,
truck,exposure,5.466053511144013,4.597342965846944,,
truck,edge,6.141137707374735,5.608782486517983,,
truck,both,5.657014490835371,5.47593730699316,,
truck,,5.911257854171492,4.9760884612388825,,
bin_new_medium,exposure,6.271009588710341,4.686794753652402,,
bin_new_medium,edge,4.916176782425927,4.193776860921243,,
bin_new_medium,both,6.512423936523454,5.481736530638273,,
bin_new_medium,,3.439768290019406,2.4567934898431645,,
pingpong,exposure,4.442330824154935,3.058488955490697,,
pingpong,edge,4.734453989385258,2.9489210235925145,,
pingpong,both,5.032226069299228,4.794276729463802,,
pingpong,,3.54271333725715,2.468614040420005,,
bin_new_dark,exposure,4.093204493798349,3.9945968820377855,,
bin_new_dark,edge,3.4140814134621484,3.350601816594195,,
bin_new_dark,both,5.163423636992686,4.565860903297783,,
bin_new_dark,,,,,
