,Predicted_MOS
playroom_images_dark_025,2.8574495636748702
train_images_dark_075_edge_enhanced_both_enhanced,6.107734998663046
truck_images_blur_3_edge_enhanced_both_enhanced,5.920478642503031
train_images_dark_025_exposure_corrected,5.293388236720729
train_images_blur_7,6.259225744278525
truck_images_blur_7_exposure_corrected,5.202087869249505
drjohnson_images_edge_enhanced_both_enhanced,5.048363533927258
train_images_blur_3_edge_enhanced,6.71001864107156
playroom_images_dark_050,3.440404085468147
drjohnson_images_dark_075_edge_enhanced,5.8356161369126465
train_images_blur_3_exposure_corrected,5.731124142036617
playroom_images_blur_7_edge_enhanced,4.260662044607221
truck_images_blur_5_edge_enhanced_both_enhanced,6.126894616286531
drjohnson_images_dark_075_edge_enhanced_both_enhanced,3.9495347965026433
truck_images_dark_050_exposure_corrected,5.571971044443435
drjohnson_images_dark_075,4.43807313551328
drjohnson_images_exposure_corrected,4.7697206222474895
truck_images_dark_025,3.5656287255885903
train_images_dark_050_edge_enhanced_both_enhanced,4.9146020902987155
truck_images_blur_3_exposure_corrected,5.12337706267326
glomap+both_pingpong,4.477172299120089
train_images_dark_025_edge_enhanced_both_enhanced,5.392831488332979
playroom_images_blur_3_edge_enhanced_both_enhanced,4.349116328662047
train_images_dark_050_exposure_corrected,3.899909148971446
playroom_images_blur_5_exposure_corrected,3.232332498250236
glomap_exposure_pingpong,2.9170047598135245
playroom_images_dark_075_exposure_corrected,3.5814636790794268
truck_images_dark_075_edge_enhanced_both_enhanced,6.255046744706146
truck_images_blur_7_edge_enhanced_both_enhanced,5.878557807491152
drjohnson_images_dark_050_exposure_corrected,3.2828002385444344
train_images_exposure_corrected,5.691672464543382
glomap_drjohnson,3.9037199620805545
truck_images_dark_025_edge_enhanced_both_enhanced,5.691622251315291
truck_images_blur_3_edge_enhanced,6.036513429874684
playroom_images_dark_075_edge_enhanced,4.80787479276213
drjohnson_images_blur_5,5.194204103764301
playroom_images_blur_7_edge_enhanced_both_enhanced,4.94568480531063
playroom_images_dark_050_edge_enhanced,4.738035305126662
drjohnson_images,5.070872258531383
glomap_bin_new_medium,2.9397231705056734
drjohnson_images_blur_5_edge_enhanced,6.148365020337893
glomap_both_playroom,3.4737339395812823
truck_images_exposure_corrected,5.325114562466739
playroom_images_blur_7_exposure_corrected,4.022155939734218
playroom_images_blur_3_exposure_corrected,2.9866786181710996
train_images_dark_075_exposure_corrected,5.459001006392848
playroom_images_dark_050_exposure_corrected,3.4073701275721753
playroom_images_dark_050_edge_enhanced_both_enhanced,4.061279307136385
drjohnson_images_blur_7_edge_enhanced_both_enhanced,5.366161266747344
truck_images_dark_025_exposure_corrected,5.771268895501964
playroom_images_dark_075,3.719502270324993
drjohnson_images_dark_025,2.8993992409418388
train_images_blur_5_exposure_corrected,5.419644397923619
playroom_images_blur_5,3.488884976669255
train_images_dark_050_edge_enhanced,5.696243031282551
playroom_images_dark_025_edge_enhanced_both_enhanced,3.669535826587482
drjohnson_images_dark_075_exposure_corrected,2.303781986484889
truck_images_dark_075_exposure_corrected,5.5633644117730725
train_images,6.282592791419599
playroom_images_edge_enhanced_both_enhanced,4.833506280083509
truck_images_blur_5_exposure_corrected,5.102639501056416
drjohnson_images_dark_050_edge_enhanced_both_enhanced,3.9790828351496197
playroom_images_dark_025_edge_enhanced,3.9344277322295924
train_images_blur_3_edge_enhanced_both_enhanced,6.3865280665706585
drjohnson_images_blur_3,5.153901017091103
drjohnson_images_blur_3_exposure_corrected,4.808688412734997
playroom_images_exposure_corrected,3.2681684216528444
truck_images_blur_7,5.730668909529029
drjohnson_images_blur_3_edge_enhanced_both_enhanced,5.885610160913455
train_images_dark_025,4.079942093449721
drjohnson_images_blur_3_edge_enhanced,6.2192289235380045
truck_images_blur_3,5.564908930663179
playroom_images_blur_5_edge_enhanced,4.308242125877865
train_images_edge_enhanced_both_enhanced,6.320410601060907
playroom_images_blur_3,3.645764743297873
truck_images_edge_enhanced_both_enhanced,5.937222296404354
train_images_edge_enhanced,6.730365626833212
train_images_blur_7_exposure_corrected,5.600888221465519
playroom_images_dark_075_edge_enhanced_both_enhanced,4.795962311776318
train_images_blur_5_edge_enhanced,6.724871538077808
playroom_images,3.4527801303656496
drjohnson_images_dark_025_exposure_corrected,2.8462446115508393
playroom_images_blur_5_edge_enhanced_both_enhanced,4.237146059742598
playroom_images_blur_7,3.380317417752317
truck_images_dark_050_edge_enhanced_both_enhanced,6.134343899855896
